證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","6666000","924033100","140.40","140.40","138.10","138.25","-2.3500","3957"
"0051","元大中型100","185000","10284950","55.95","56.10","55.00","55.00","-1.2000","91"
"0052","富邦科技","1130000","143084000","128.75","128.75","126.00","126.00","-3.5500","624"
"0053","元大電子","25000","1701050","69.00","69.00","67.05","67.25","-1.3500","23"
"0054","元大台商50","8000","257040","32.32","32.32","32.00","32.00","-0.5500","8"
"0055","元大MSCI金融","300000","6334090","21.12","21.36","21.06","21.06","0.0100","117"
"0056","元大高股息","15569000","560718730","36.12","36.17","35.90","35.91","-0.2100","7826"
"0057","富邦摩台","22000","2073500","94.45","94.45","94.05","94.05","-1.9500","4"
"0061","元大寶滬深","217000","5083220","23.45","23.50","23.33","23.33","-0.2200","122"
"006203","元大MSCI台灣","10000","656150","65.65","65.65","65.30","65.30","-1.9000","6"
"006204","永豐臺灣加權","20000","1761000","88.05","88.05","88.05","88.05","-1.1500","2"
"006205","富邦上証","960000","35958440","37.78","37.78","37.33","37.35","-0.5400","220"
"006206","元大上證50","109000","4119970","38.05","38.05","37.59","37.64","-0.4500","50"
"006207","FH滬深","152000","4609150","30.32","30.57","30.23","30.23","-0.4500","16"
"006208","富邦台50","2283000","181737550","80.65","80.65","79.30","79.35","-1.4000","1515"
"00625K","富邦上証+R","","","","","","","0.0000",""
"00631L","元大台灣50正2","6083000","770904050","129.70","129.80","125.50","125.50","-4.9500","1608"
"00632R","元大台灣50反1","280122000","1614806660","5.70","5.80","5.70","5.79","0.1000","10835"
"00633L","富邦上証正2","3594000","235808800","66.95","67.15","65.00","65.00","-2.3500","1163"
"00634R","富邦上証反1","788000","3097380","3.91","3.96","3.90","3.96","0.0700","63"
"00635U","期元大S&P黃金","803000","19132630","23.80","23.88","23.80","23.84","-0.1600","209"
"00636","國泰中國A50","1169000","31504890","27.30","27.30","26.82","26.82","-0.4900","345"
"00636K","國泰中國A50+U","200","1920","9.60","9.60","9.60","9.60","-0.1500","2"
"00637L","元大滬深300正2","34665000","900282650","26.50","26.53","25.70","25.70","-0.9300","6373"
"00638R","元大滬深300反1","602000","4757950","7.84","7.96","7.83","7.95","0.1700","133"
"00639","富邦深100","1691000","28365170","16.89","16.92","16.70","16.70","-0.2000","227"
