國文,英文,數學,自然,社會
82,68,50,78,100
57,60,89,83,68
98,58,75,51,52
94,80,80,91,68
68,77,54,88,68
98,91,90,96,75
73,62,61,99,90
55,62,97,92,99
52,50,82,87,55
82,75,87,89,81
88,52,86,92,94
53,100,99,60,56
92,88,81,81,88
69,100,69,96,73
62,81,100,50,50
54,74,56,92,65
86,73,70,51,78
57,50,58,64,92
91,74,77,76,81
98,87,92,81,92
51,67,97,81,71
52,65,79,77,81
60,84,83,77,53
67,86,82,60,67
74,60,50,59,75
56,64,59,94,81
86,95,80,82,57
68,52,96,82,74
64,61,72,63,98
82,82,74,52,52
73,76,51,53,91
62,73,61,63,98
64,93,74,75,64
99,96,64,66,89
64,78,79,64,79
99,88,87,55,84
78,66,68,86,68
70,50,83,55,93
51,52,94,88,71
68,79,77,88,67
70,87,67,59,98
81,65,93,72,59
85,61,76,63,52
77,57,81,89,79
79,62,60,77,57
87,83,97,100,64
70,72,51,81,58
50,50,85,78,64
63,74,68,96,100
59,96,86,68,95
